location_id,zone,row,column,depth,location_type,product_id,quantity,product_type,x,y,z,color,depth_info
A-01-10-3,A,1,10,3,Folded Shelves,T-s-Gre-M,3,T-shirts,25.0,72,4.5,"[0, 0, 220]",
A-01-11-1,A,1,11,1,Folded Shelves,,0,T-shirts,26.5,72,1.5,"[0, 0, 220]",
A-01-11-2,A,1,11,2,Folded Shelves,T-s-Gra-L,4,T-shirts,26.5,72,3.0,"[0, 0, 220]",
A-01-11-3,A,1,11,3,Folded Shelves,T-s-Red-L,17,T-shirts,26.5,72,4.5,"[0, 0, 220]",
A-01-12-1,A,1,12,1,Folded Shelves,,0,T-shirts,28.0,72,1.5,"[0, 0, 220]",
A-01-12-2,A,1,12,2,Folded Shelves,T-s-Gre-L,2,T-shirts,28.0,72,3.0,"[0, 0, 220]",
A-01-12-3,A,1,12,3,Folded Shelves,T-s-Blu-M,7,T-shirts,28.0,72,4.5,"[0, 0, 220]",
A-01-13-1,A,1,13,1,Folded Shelves,T-s-Gra-L,3,T-shirts,29.5,72,1.5,"[0, 0, 220]",
A-01-13-2,A,1,13,2,Folded Shelves,,0,T-shirts,29.5,72,3.0,"[0, 0, 220]",
A-01-13-3,A,1,13,3,Folded Shelves,T-s-Whi-XL,7,T-shirts,29.5,72,4.5,"[0, 0, 220]",
A-01-14-1,A,1,14,1,Folded Shelves,T-s-Whi-XS,14,T-shirts,31.0,72,1.5,"[0, 0, 220]",
A-01-14-2,A,1,14,2,Folded Shelves,T-s-Gre-XXL,3,T-shirts,31.0,72,3.0,"[0, 0, 220]",
A-01-14-3,A,1,14,3,Folded Shelves,T-s-Red-XXL,3,T-shirts,31.0,72,4.5,"[0, 0, 220]",
A-01-15-1,A,1,15,1,Folded Shelves,T-s-Whi-M,15,T-shirts,32.5,72,1.5,"[0, 0, 220]",
A-01-15-2,A,1,15,2,Folded Shelves,,0,T-shirts,32.5,72,3.0,"[0, 0, 220]",
A-01-15-3,A,1,15,3,Folded Shelves,,0,T-shirts,32.5,72,4.5,"[0, 0, 220]",
A-01-16-1,A,1,16,1,Folded Shelves,,0,T-shirts,34.0,72,1.5,"[0, 0, 220]",
A-01-16-2,A,1,16,2,Folded Shelves,T-s-Red-L,13,T-shirts,34.0,72,3.0,"[0, 0, 220]",
A-01-16-3,A,1,16,3,Folded Shelves,T-s-Red-M,5,T-shirts,34.0,72,4.5,"[0, 0, 220]",
A-01-17-1,A,1,17,1,Folded Shelves,T-s-Whi-XXL,9,T-shirts,35.5,72,1.5,"[0, 0, 220]",
A-01-17-2,A,1,17,2,Folded Shelves,T-s-Red-M,16,T-shirts,35.5,72,3.0,"[0, 0, 220]",
A-01-17-3,A,1,17,3,Folded Shelves,T-s-Whi-XL,16,T-shirts,35.5,72,4.5,"[0, 0, 220]",
A-01-18-1,A,1,18,1,Folded Shelves,T-s-Gre-M,14,T-shirts,37.0,72,1.5,"[0, 0, 220]",
A-01-18-2,A,1,18,2,Folded Shelves,T-s-Blu-XXL,5,T-shirts,37.0,72,3.0,"[0, 0, 220]",
A-01-18-3,A,1,18,3,Folded Shelves,T-s-Blu-L,1,T-shirts,37.0,72,4.5,"[0, 0, 220]",
A-01-19-1,A,1,19,1,Folded Shelves,,0,T-shirts,38.5,72,1.5,"[0, 0, 220]",
A-01-19-2,A,1,19,2,Folded Shelves,T-s-Bla-XS,12,T-shirts,38.5,72,3.0,"[0, 0, 220]",
A-01-19-3,A,1,19,3,Folded Shelves,T-s-Whi-XS,19,T-shirts,38.5,72,4.5,"[0, 0, 220]",
A-01-20-1,A,1,20,1,Folded Shelves,T-s-Red-XS,18,T-shirts,40.0,72,1.5,"[0, 0, 220]",
A-01-20-2,A,1,20,2,Folded Shelves,T-s-Gre-XL,5,T-shirts,40.0,72,3.0,"[0, 0, 220]",
A-01-20-3,A,1,20,3,Folded Shelves,,0,T-shirts,40.0,72,4.5,"[0, 0, 220]",
A-02-01-1,A,2,1,1,Folded Shelves,T-s-Whi-L,11,T-shirts,11.5,74,1.5,"[0, 0, 220]",
A-02-01-2,A,2,1,2,Folded Shelves,T-s-Whi-M,10,T-shirts,11.5,74,3.0,"[0, 0, 220]",
A-02-01-3,A,2,1,3,Folded Shelves,T-s-Gre-XXL,2,T-shirts,11.5,74,4.5,"[0, 0, 220]",
A-02-02-1,A,2,2,1,Folded Shelves,T-s-Bla-S,10,T-shirts,13.0,74,1.5,"[0, 0, 220]",
A-02-02-2,A,2,2,2,Folded Shelves,T-s-Gre-XL,7,T-shirts,13.0,74,3.0,"[0, 0, 220]",
A-02-02-3,A,2,2,3,Folded Shelves,,0,T-shirts,13.0,74,4.5,"[0, 0, 220]",
A-02-03-1,A,2,3,1,Folded Shelves,,0,T-shirts,14.5,74,1.5,"[0, 0, 220]",
A-02-03-2,A,2,3,2,Folded Shelves,T-s-Red-S,20,T-shirts,14.5,74,3.0,"[0, 0, 220]",
A-02-03-3,A,2,3,3,Folded Shelves,,0,T-shirts,14.5,74,4.5,"[0, 0, 220]",
A-02-04-1,A,2,4,1,Folded Shelves,T-s-Bla-L,1,T-shirts,16.0,74,1.5,"[0, 0, 220]",
A-02-04-2,A,2,4,2,Folded Shelves,T-s-Blu-M,16,T-shirts,16.0,74,3.0,"[0, 0, 220]",
A-02-04-3,A,2,4,3,Folded Shelves,,0,T-shirts,16.0,74,4.5,"[0, 0, 220]",
A-02-05-1,A,2,5,1,Folded Shelves,T-s-Whi-XS,8,T-shirts,17.5,74,1.5,"[0, 0, 220]",
A-02-05-2,A,2,5,2,Folded Shelves,,0,T-shirts,17.5,74,3.0,"[0, 0, 220]",
A-02-05-3,A,2,5,3,Folded Shelves,T-s-Blu-M,13,T-shirts,17.5,74,4.5,"[0, 0, 220]",
A-02-06-1,A,2,6,1,Folded Shelves,T-s-Whi-XL,7,T-shirts,19.0,74,1.5,"[0, 0, 220]",
A-02-06-2,A,2,6,2,Folded Shelves,T-s-Red-L,9,T-shirts,19.0,74,3.0,"[0, 0, 220]",
A-02-06-3,A,2,6,3,Folded Shelves,T-s-Whi-M,12,T-shirts,19.0,74,4.5,"[0, 0, 220]",
A-02-07-1,A,2,7,1,Folded Shelves,T-s-Blu-M,17,T-shirts,20.5,74,1.5,"[0, 0, 220]",
A-02-07-2,A,2,7,2,Folded Shelves,T-s-Gra-L,8,T-shirts,20.5,74,3.0,"[0, 0, 220]",
A-02-07-3,A,2,7,3,Folded Shelves,T-s-Gre-XL,14,T-shirts,20.5,74,4.5,"[0, 0, 220]",
A-02-08-1,A,2,8,1,Folded Shelves,T-s-Blu-XXL,17,T-shirts,22.0,74,1.5,"[0, 0, 220]",
A-02-08-2,A,2,8,2,Folded Shelves,,0,T-shirts,22.0,74,3.0,"[0, 0, 220]",
A-02-08-3,A,2,8,3,Folded Shelves,T-s-Blu-M,4,T-shirts,22.0,74,4.5,"[0, 0, 220]",
A-02-09-1,A,2,9,1,Folded Shelves,T-s-Bla-XL,13,T-shirts,23.5,74,1.5,"[0, 0, 220]",
A-02-09-2,A,2,9,2,Folded Shelves,T-s-Gre-M,13,T-shirts,23.5,74,3.0,"[0, 0, 220]",
A-02-09-3,A,2,9,3,Folded Shelves,T-s-Gre-XS,11,T-shirts,23.5,74,4.5,"[0, 0, 220]",
A-02-10-1,A,2,10,1,Folded Shelves,T-s-Gre-M,14,T-shirts,25.0,74,1.5,"[0, 0, 220]",
A-02-10-2,A,2,10,2,Folded Shelves,T-s-Whi-L,11,T-shirts,25.0,74,3.0,"[0, 0, 220]",
A-02-10-3,A,2,10,3,Folded Shelves,T-s-Blu-S,20,T-shirts,25.0,74,4.5,"[0, 0, 220]",
A-02-11-1,A,2,11,1,Folded Shelves,T-s-Blu-XXL,15,T-shirts,26.5,74,1.5,"[0, 0, 220]",
A-02-11-2,A,2,11,2,Folded Shelves,T-s-Gre-M,14,T-shirts,26.5,74,3.0,"[0, 0, 220]",
A-02-11-3,A,2,11,3,Folded Shelves,T-s-Red-XL,17,T-shirts,26.5,74,4.5,"[0, 0, 220]",
A-02-12-1,A,2,12,1,Folded Shelves,T-s-Bla-XL,15,T-shirts,28.0,74,1.5,"[0, 0, 220]",
A-02-12-2,A,2,12,2,Folded Shelves,T-s-Red-XS,1,T-shirts,28.0,74,3.0,"[0, 0, 220]",
A-02-12-3,A,2,12,3,Folded Shelves,,0,T-shirts,28.0,74,4.5,"[0, 0, 220]",
A-02-13-1,A,2,13,1,Folded Shelves,T-s-Red-M,8,T-shirts,29.5,74,1.5,"[0, 0, 220]",
A-02-13-2,A,2,13,2,Folded Shelves,T-s-Gre-L,9,T-shirts,29.5,74,3.0,"[0, 0, 220]",
A-02-13-3,A,2,13,3,Folded Shelves,T-s-Bla-XXL,2,T-shirts,29.5,74,4.5,"[0, 0, 220]",
A-02-14-1,A,2,14,1,Folded Shelves,T-s-Gre-XL,18,T-shirts,31.0,74,1.5,"[0, 0, 220]",
A-02-14-2,A,2,14,2,Folded Shelves,T-s-Bla-XL,16,T-shirts,31.0,74,3.0,"[0, 0, 220]",
A-02-14-3,A,2,14,3,Folded Shelves,,0,T-shirts,31.0,74,4.5,"[0, 0, 220]",
A-02-15-1,A,2,15,1,Folded Shelves,,0,T-shirts,32.5,74,1.5,"[0, 0, 220]",
A-02-15-2,A,2,15,2,Folded Shelves,T-s-Blu-XL,8,T-shirts,32.5,74,3.0,"[0, 0, 220]",
A-02-15-3,A,2,15,3,Folded Shelves,T-s-Blu-XS,7,T-shirts,32.5,74,4.5,"[0, 0, 220]",
A-02-16-1,A,2,16,1,Folded Shelves,,0,T-shirts,34.0,74,1.5,"[0, 0, 220]",
A-02-16-2,A,2,16,2,Folded Shelves,,0,T-shirts,34.0,74,3.0,"[0, 0, 220]",
A-02-16-3,A,2,16,3,Folded Shelves,T-s-Whi-XXL,6,T-shirts,34.0,74,4.5,"[0, 0, 220]",
A-02-17-1,A,2,17,1,Folded Shelves,T-s-Gra-XXL,5,T-shirts,35.5,74,1.5,"[0, 0, 220]",
A-02-17-2,A,2,17,2,Folded Shelves,T-s-Whi-L,8,T-shirts,35.5,74,3.0,"[0, 0, 220]",
A-02-17-3,A,2,17,3,Folded Shelves,T-s-Gra-XXL,8,T-shirts,35.5,74,4.5,"[0, 0, 220]",
A-02-18-1,A,2,18,1,Folded Shelves,T-s-Blu-L,5,T-shirts,37.0,74,1.5,"[0, 0, 220]",
A-02-18-2,A,2,18,2,Folded Shelves,T-s-Gra-M,6,T-shirts,37.0,74,3.0,"[0, 0, 220]",
A-02-18-3,A,2,18,3,Folded Shelves,T-s-Blu-XL,10,T-shirts,37.0,74,4.5,"[0, 0, 220]",
A-02-19-1,A,2,19,1,Folded Shelves,T-s-Blu-XXL,14,T-shirts,38.5,74,1.5,"[0, 0, 220]",
A-02-19-2,A,2,19,2,Folded Shelves,T-s-Red-L,4,T-shirts,38.5,74,3.0,"[0, 0, 220]",
A-02-19-3,A,2,19,3,Folded Shelves,T-s-Blu-XXL,8,T-shirts,38.5,74,4.5,"[0, 0, 220]",
A-02-20-1,A,2,20,1,Folded Shelves,,0,T-shirts,40.0,74,1.5,"[0, 0, 220]",
A-02-20-2,A,2,20,2,Folded Shelves,T-s-Gra-L,9,T-shirts,40.0,74,3.0,"[0, 0, 220]",
A-02-20-3,A,2,20,3,Folded Shelves,,0,T-shirts,40.0,74,4.5,"[0, 0, 220]",
B-01-01-1,B,1,1,1,Folded Shelves,,0,Jeans,11.5,62,1.5,"[0, 0, 200]",
B-01-01-2,B,1,1,2,Folded Shelves,,0,Jeans,11.5,62,3.0,"[0, 0, 200]",
B-01-01-3,B,1,1,3,Folded Shelves,Jea-Bla-L,11,Jeans,11.5,62,4.5,"[0, 0, 200]",
B-01-02-1,B,1,2,1,Folded Shelves,,0,Jeans,13.0,62,1.5,"[0, 0, 200]",
B-01-02-2,B,1,2,2,Folded Shelves,Jea-Blu-XS,17,Jeans,13.0,62,3.0,"[0, 0, 200]",
B-01-02-3,B,1,2,3,Folded Shelves,Jea-Gra-XXL,13,Jeans,13.0,62,4.5,"[0, 0, 200]",
B-01-03-1,B,1,3,1,Folded Shelves,Jea-Bla-XL,14,Jeans,14.5,62,1.5,"[0, 0, 200]",
B-01-03-2,B,1,3,2,Folded Shelves,Jea-Gra-S,5,Jeans,14.5,62,3.0,"[0, 0, 200]",
B-01-03-3,B,1,3,3,Folded Shelves,Jea-Red-XXL,14,Jeans,14.5,62,4.5,"[0, 0, 200]",
B-01-04-1,B,1,4,1,Folded Shelves,,0,Jeans,16.0,62,1.5,"[0, 0, 200]",
B-01-04-2,B,1,4,2,Folded Shelves,Jea-Gre-XXL,4,Jeans,16.0,62,3.0,"[0, 0, 200]",
B-01-04-3,B,1,4,3,Folded Shelves,Jea-Gre-XL,11,Jeans,16.0,62,4.5,"[0, 0, 200]",
B-01-05-1,B,1,5,1,Folded Shelves,Jea-Gre-M,4,Jeans,17.5,62,1.5,"[0, 0, 200]",
B-01-05-2,B,1,5,2,Folded Shelves,,0,Jeans,17.5,62,3.0,"[0, 0, 200]",
B-01-05-3,B,1,5,3,Folded Shelves,,0,Jeans,17.5,62,4.5,"[0, 0, 200]",
B-01-06-1,B,1,6,1,Folded Shelves,Jea-Gre-XL,4,Jeans,19.0,62,1.5,"[0, 0, 200]",
B-01-06-2,B,1,6,2,Folded Shelves,Jea-Whi-L,5,Jeans,19.0,62,3.0,"[0, 0, 200]",
B-01-06-3,B,1,6,3,Folded Shelves,,0,Jeans,19.0,62,4.5,"[0, 0, 200]",
B-01-07-1,B,1,7,1,Folded Shelves,Jea-Gre-XXL,3,Jeans,20.5,62,1.5,"[0, 0, 200]",
B-01-07-2,B,1,7,2,Folded Shelves,Jea-Bla-XL,6,Jeans,20.5,62,3.0,"[0, 0, 200]",
B-01-07-3,B,1,7,3,Folded Shelves,Jea-Gre-L,12,Jeans,20.5,62,4.5,"[0, 0, 200]",
B-01-08-1,B,1,8,1,Folded Shelves,Jea-Whi-S,3,Jeans,22.0,62,1.5,"[0, 0, 200]",
B-01-08-2,B,1,8,2,Folded Shelves,Jea-Bla-S,19,Jeans,22.0,62,3.0,"[0, 0, 200]",
B-01-08-3,B,1,8,3,Folded Shelves,Jea-Whi-L,4,Jeans,22.0,62,4.5,"[0, 0, 200]",
B-01-09-1,B,1,9,1,Folded Shelves,Jea-Gre-XXL,6,Jeans,23.5,62,1.5,"[0, 0, 200]",
B-01-09-2,B,1,9,2,Folded Shelves,Jea-Gre-XL,9,Jeans,23.5,62,3.0,"[0, 0, 200]",
B-01-09-3,B,1,9,3,Folded Shelves,Jea-Gra-XL,20,Jeans,23.5,62,4.5,"[0, 0, 200]",
B-01-10-1,B,1,10,1,Folded Shelves,Jea-Whi-M,11,Jeans,25.0,62,1.5,"[0, 0, 200]",
B-01-10-2,B,1,10,2,Folded Shelves,,0,Jeans,25.0,62,3.0,"[0, 0, 200]",
B-01-10-3,B,1,10,3,Folded Shelves,Jea-Blu-XS,16,Jeans,25.0,62,4.5,"[0, 0, 200]",
B-01-11-1,B,1,11,1,Folded Shelves,Jea-Gre-M,3,Jeans,26.5,62,1.5,"[0, 0, 200]",
B-01-11-2,B,1,11,2,Folded Shelves,Jea-Blu-XL,14,Jeans,26.5,62,3.0,"[0, 0, 200]",
B-01-11-3,B,1,11,3,Folded Shelves,Jea-Bla-M,7,Jeans,26.5,62,4.5,"[0, 0, 200]",
B-01-12-1,B,1,12,1,Folded Shelves,Jea-Red-S,6,Jeans,28.0,62,1.5,"[0, 0, 200]",
B-01-12-2,B,1,12,2,Folded Shelves,Jea-Gra-S,4,Jeans,28.0,62,3.0,"[0, 0, 200]",
B-01-12-3,B,1,12,3,Folded Shelves,,0,Jeans,28.0,62,4.5,"[0, 0, 200]",
B-01-13-1,B,1,13,1,Folded Shelves,Jea-Whi-L,1,Jeans,29.5,62,1.5,"[0, 0, 200]",
B-01-13-2,B,1,13,2,Folded Shelves,Jea-Blu-M,9,Jeans,29.5,62,3.0,"[0, 0, 200]",
B-01-13-3,B,1,13,3,Folded Shelves,Jea-Red-L,1,Jeans,29.5,62,4.5,"[0, 0, 200]",
B-01-14-1,B,1,14,1,Folded Shelves,,0,Jeans,31.0,62,1.5,"[0, 0, 200]",
B-01-14-2,B,1,14,2,Folded Shelves,Jea-Red-XS,14,Jeans,31.0,62,3.0,"[0, 0, 200]",
B-01-14-3,B,1,14,3,Folded Shelves,,0,Jeans,31.0,62,4.5,"[0, 0, 200]",
B-01-15-1,B,1,15,1,Folded Shelves,Jea-Red-M,9,Jeans,32.5,62,1.5,"[0, 0, 200]",
B-01-15-2,B,1,15,2,Folded Shelves,Jea-Bla-S,2,Jeans,32.5,62,3.0,"[0, 0, 200]",
B-01-15-3,B,1,15,3,Folded Shelves,Jea-Whi-XXL,5,Jeans,32.5,62,4.5,"[0, 0, 200]",
B-01-16-1,B,1,16,1,Folded Shelves,Jea-Blu-XL,12,Jeans,34.0,62,1.5,"[0, 0, 200]",
B-01-16-2,B,1,16,2,Folded Shelves,Jea-Blu-XXL,2,Jeans,34.0,62,3.0,"[0, 0, 200]",
B-01-16-3,B,1,16,3,Folded Shelves,Jea-Red-S,6,Jeans,34.0,62,4.5,"[0, 0, 200]",
B-01-17-1,B,1,17,1,Folded Shelves,Jea-Bla-S,12,Jeans,35.5,62,1.5,"[0, 0, 200]",
B-01-17-2,B,1,17,2,Folded Shelves,,0,Jeans,35.5,62,3.0,"[0, 0, 200]",
B-01-17-3,B,1,17,3,Folded Shelves,Jea-Bla-XL,5,Jeans,35.5,62,4.5,"[0, 0, 200]",
B-01-18-1,B,1,18,1,Folded Shelves,,0,Jeans,37.0,62,1.5,"[0, 0, 200]",
B-01-18-2,B,1,18,2,Folded Shelves,,0,Jeans,37.0,62,3.0,"[0, 0, 200]",
B-01-18-3,B,1,18,3,Folded Shelves,Jea-Gre-M,19,Jeans,37.0,62,4.5,"[0, 0, 200]",
B-01-19-1,B,1,19,1,Folded Shelves,,0,Jeans,38.5,62,1.5,"[0, 0, 200]",
B-01-19-2,B,1,19,2,Folded Shelves,Jea-Whi-L,8,Jeans,38.5,62,3.0,"[0, 0, 200]",
B-01-19-3,B,1,19,3,Folded Shelves,Jea-Bla-S,9,Jeans,38.5,62,4.5,"[0, 0, 200]",
B-01-20-1,B,1,20,1,Folded Shelves,Jea-Whi-S,12,Jeans,40.0,62,1.5,"[0, 0, 200]",
B-01-20-2,B,1,20,2,Folded Shelves,,0,Jeans,40.0,62,3.0,"[0, 0, 200]",
B-01-20-3,B,1,20,3,Folded Shelves,Jea-Bla-S,14,Jeans,40.0,62,4.5,"[0, 0, 200]",
B-02-01-1,B,2,1,1,Folded Shelves,,0,Jeans,11.5,64,1.5,"[0, 0, 200]",
B-02-01-2,B,2,1,2,Folded Shelves,Jea-Gra-XXL,2,Jeans,11.5,64,3.0,"[0, 0, 200]",
B-02-01-3,B,2,1,3,Folded Shelves,,0,Jeans,11.5,64,4.5,"[0, 0, 200]",
B-02-02-1,B,2,2,1,Folded Shelves,Jea-Bla-XS,14,Jeans,13.0,64,1.5,"[0, 0, 200]",
B-02-02-2,B,2,2,2,Folded Shelves,,0,Jeans,13.0,64,3.0,"[0, 0, 200]",
B-02-02-3,B,2,2,3,Folded Shelves,Jea-Whi-L,13,Jeans,13.0,64,4.5,"[0, 0, 200]",
B-02-03-1,B,2,3,1,Folded Shelves,Jea-Gra-XXL,1,Jeans,14.5,64,1.5,"[0, 0, 200]",
B-02-03-2,B,2,3,2,Folded Shelves,Jea-Bla-XS,7,Jeans,14.5,64,3.0,"[0, 0, 200]",
B-02-03-3,B,2,3,3,Folded Shelves,Jea-Bla-M,11,Jeans,14.5,64,4.5,"[0, 0, 200]",
B-02-04-1,B,2,4,1,Folded Shelves,,0,Jeans,16.0,64,1.5,"[0, 0, 200]",
B-02-04-2,B,2,4,2,Folded Shelves,Jea-Gra-M,6,Jeans,16.0,64,3.0,"[0, 0, 200]",
B-02-04-3,B,2,4,3,Folded Shelves,Jea-Bla-XL,8,Jeans,16.0,64,4.5,"[0, 0, 200]",
B-02-05-1,B,2,5,1,Folded Shelves,Jea-Gra-XXL,7,Jeans,17.5,64,1.5,"[0, 0, 200]",
B-02-05-2,B,2,5,2,Folded Shelves,,0,Jeans,17.5,64,3.0,"[0, 0, 200]",
B-02-05-3,B,2,5,3,Folded Shelves,,0,Jeans,17.5,64,4.5,"[0, 0, 200]",
B-02-06-1,B,2,6,1,Folded Shelves,Jea-Red-S,13,Jeans,19.0,64,1.5,"[0, 0, 200]",
B-02-06-2,B,2,6,2,Folded Shelves,,0,Jeans,19.0,64,3.0,"[0, 0, 200]",
B-02-06-3,B,2,6,3,Folded Shelves,,0,Jeans,19.0,64,4.5,"[0, 0, 200]",
B-02-07-1,B,2,7,1,Folded Shelves,Jea-Red-L,1,Jeans,20.5,64,1.5,"[0, 0, 200]",
B-02-07-2,B,2,7,2,Folded Shelves,,0,Jeans,20.5,64,3.0,"[0, 0, 200]",
B-02-07-3,B,2,7,3,Folded Shelves,Jea-Gra-XS,18,Jeans,20.5,64,4.5,"[0, 0, 200]",
B-02-08-1,B,2,8,1,Folded Shelves,Jea-Bla-L,8,Jeans,22.0,64,1.5,"[0, 0, 200]",
B-02-08-2,B,2,8,2,Folded Shelves,,0,Jeans,22.0,64,3.0,"[0, 0, 200]",
B-02-08-3,B,2,8,3,Folded Shelves,Jea-Blu-XL,20,Jeans,22.0,64,4.5,"[0, 0, 200]",
B-02-09-1,B,2,9,1,Folded Shelves,Jea-Whi-XXL,2,Jeans,23.5,64,1.5,"[0, 0, 200]",
B-02-09-2,B,2,9,2,Folded Shelves,Jea-Gra-XL,12,Jeans,23.5,64,3.0,"[0, 0, 200]",
B-02-09-3,B,2,9,3,Folded Shelves,,0,Jeans,23.5,64,4.5,"[0, 0, 200]",
B-02-10-1,B,2,10,1,Folded Shelves,Jea-Gre-S,11,Jeans,25.0,64,1.5,"[0, 0, 200]",
B-02-10-2,B,2,10,2,Folded Shelves,,0,Jeans,25.0,64,3.0,"[0, 0, 200]",
B-02-10-3,B,2,10,3,Folded Shelves,Jea-Gra-XL,18,Jeans,25.0,64,4.5,"[0, 0, 200]",
B-02-11-1,B,2,11,1,Folded Shelves,,0,Jeans,26.5,64,1.5,"[0, 0, 200]",
B-02-11-2,B,2,11,2,Folded Shelves,,0,Jeans,26.5,64,3.0,"[0, 0, 200]",
B-02-11-3,B,2,11,3,Folded Shelves,,0,Jeans,26.5,64,4.5,"[0, 0, 200]",
B-02-12-1,B,2,12,1,Folded Shelves,Jea-Bla-XXL,5,Jeans,28.0,64,1.5,"[0, 0, 200]",
B-02-12-2,B,2,12,2,Folded Shelves,Jea-Gre-XL,5,Jeans,28.0,64,3.0,"[0, 0, 200]",
B-02-12-3,B,2,12,3,Folded Shelves,Jea-Whi-XS,9,Jeans,28.0,64,4.5,"[0, 0, 200]",
B-02-13-1,B,2,13,1,Folded Shelves,Jea-Gra-L,16,Jeans,29.5,64,1.5,"[0, 0, 200]",
B-02-13-2,B,2,13,2,Folded Shelves,Jea-Bla-XS,13,Jeans,29.5,64,3.0,"[0, 0, 200]",
B-02-13-3,B,2,13,3,Folded Shelves,Jea-Whi-S,13,Jeans,29.5,64,4.5,"[0, 0, 200]",
B-02-14-1,B,2,14,1,Folded Shelves,Jea-Gra-M,19,Jeans,31.0,64,1.5,"[0, 0, 200]",
B-02-14-2,B,2,14,2,Folded Shelves,,0,Jeans,31.0,64,3.0,"[0, 0, 200]",
B-02-14-3,B,2,14,3,Folded Shelves,,0,Jeans,31.0,64,4.5,"[0, 0, 200]",
B-02-15-1,B,2,15,1,Folded Shelves,Jea-Gre-M,19,Jeans,32.5,64,1.5,"[0, 0, 200]",
B-02-15-2,B,2,15,2,Folded Shelves,,0,Jeans,32.5,64,3.0,"[0, 0, 200]",
B-02-15-3,B,2,15,3,Folded Shelves,Jea-Bla-XS,18,Jeans,32.5,64,4.5,"[0, 0, 200]",
B-02-16-1,B,2,16,1,Folded Shelves,,0,Jeans,34.0,64,1.5,"[0, 0, 200]",
B-02-16-2,B,2,16,2,Folded Shelves,,0,Jeans,34.0,64,3.0,"[0, 0, 200]",
